Timestamp,Seq,Uptime,Status,CO2,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,TempBoard,TempExt,TempSHT,TempBat,Lat,Lon,Alt,Fix,Sats,BatMV,PM1,PM2.5,PM10,Ozone,Hum,Press,TempBaro,Rad,HeatBat,HeatBrd,FusAlt,KalAlt,Roll,Pitch
32:33.2,SIM,0,0x0000,404,55,-78,9642,0,0,0,0,0,0,3050,2467,2467,2800,351540000,1280981000,50,3,12,4200,5,10,15,20,5000,100725,2467,12,0,0,50,50,0,0
32:33.9,SIM,753,0x0000,398,-70,51,10148,0,0,0,0,0,0,3050,2467,2467,2800,351540000,1280981000,50,3,12,4200,5,10,15,20,5000,100725,2467,12,0,0,50,50,0,0
32:34.7,SIM,1535,0x0000,396,-53,61,9539,0,0,0,0,0,0,3050,2467,2467,2800,351540000,1280981000,50,3,12,4200,5,10,15,20,5000,100725,2467,12,0,0,50,50,0,0
32:35.4,SIM,2229,0x0000,413,21,-3,9983,0,0,0,0,0,0,3050,2467,2467,2800,351540000,1280981000,50,3,12,4200,5,10,15,20,5000,100725,2467,12,0,0,50,50,0,0
32:36.0,SIM,2811,0x0000,403,-32,-44,9605,0,0,0,0,0,0,3050,2467,2467,2800,351540000,1280981000,50,3,12,4200,5,10,15,20,5000,100725,2467,12,0,0,50,50,0,0
32:36.6,SIM,3407,0x0000,413,-81,-28,9589,0,0,0,0,0,0,3050,2467,2467,2800,351540000,1280981000,50,3,12,4200,5,10,15,20,5000,100725,2467,12,0,0,50,50,0,0
32:37.2,SIM,4054,0x0000,410,-42,-44,10189,0,0,0,0,0,0,3050,2467,2467,2800,351540000,1280981000,50,3,12,4200,5,10,15,20,5000,100725,2467,12,0,0,50,50,0,0
32:38.0,SIM,4794,0x0000,399,88,57,10234,0,0,0,0,0,0,3050,2467,2467,2800,351540000,1280981000,50,3,12,4200,5,10,15,20,5000,100725,2467,12,0,0,50,50,0,0
32:38.6,SIM,5398,0x0000,414,0,20,9477,0,0,0,0,0,0,3050,2467,2467,2800,351540000,1280981000,50,3,12,4200,5,10,15,20,5000,100725,2467,12,0,0,50,50,0,0
32:39.2,SIM,6031,0x0000,396,35,-52,10028,0,0,0,0,0,0,3050,2467,2467,2800,351540000,1280981000,50,3,12,4200,5,10,15,20,5000,100725,2467,12,0,0,50,50,0,0
