MCU_Pin, CubeMX_Signal      , Configured_Mode                                             , Peripheral/AltFn                       , Firmware_Role / Connected Net               , Notes                                                                                                                               , Sources
PA0    , GPIO_Input         , GPIO input                                                  ,                                        , (unused input)                              , Currently unused input in .ioc/firmware; NOTE: spec Rev2.2 lists GPS_INT on PA0 but current firmware uses PB12 for GPS_INT          , stm32_spaceballoon.ioc; Core/Src/main.c; reference/Space_Balloon_사양서_Rev2.2.pdf
PA1    , ADC1_IN2           , Analog                                                      , ADC1_IN2                                , BAT_measure (battery ADC input)             , Used by battery_adc as PA1 (ADC1_IN2 / ADC_CHANNEL_2); labeled BAT_measure in .ioc                                                  , stm32_spaceballoon.ioc; Core/Src/drivers/battery_adc.c
PA2    , USART2_TX          , AF push-pull                                                , USART2 TX                              , PMS3003 UART TX (MCU->sensor)               , UART2 reserved for PMS3003 per project convention                                                                                   , stm32_spaceballoon.ioc; Core/Src/stm32g4xx_hal_msp.c
PA3    , USART2_RX          , AF push-pull                                                , USART2 RX                              , PMS3003 UART RX (sensor->MCU)               , UART2 reserved for PMS3003 per project convention                                                                                   , stm32_spaceballoon.ioc; Core/Src/stm32g4xx_hal_msp.c
PA4    , GPIO_Output        , GPIO output                                                 ,                                        , MCP9600 reset (MCP_RST)                     , Reset line macro RESET_MCP_RST; initial level set low in MX_GPIO_Init                                                               , stm32_spaceballoon.ioc; Core/Src/main.c; Core/Inc/app/board_pins.h
PA5    , GPIO_Output        , GPIO output                                                 ,                                        , MS5611 reset (MS_RST)                       , Reset line macro RESET_MS_RST; initial level set low in MX_GPIO_Init                                                                , stm32_spaceballoon.ioc; Core/Src/main.c; Core/Inc/app/board_pins.h
PA6    , S_TIM16_CH1        , AF push-pull                                                , TIM16_CH1                              , (timer channel)                             , No explicit higher-level assignment found (PWM/OC capable)                                                                          , stm32_spaceballoon.ioc; Core/Src/stm32g4xx_hal_msp.c
PA7    , GPIO_Output        , GPIO output                                                 ,                                        , GPS wake control (GPS_Wake)                 , GPIO label GPS_Wake in .ioc; driven HIGH at boot (polarity assumed) by firmware                                                     , stm32_spaceballoon.ioc; Core/Src/main.c; Core/Inc/app/board_pins.h
PA8    , I2C3_SCL           , AF open-drain                                               , I2C3 SCL                               , I2C3 bus clock (CM1107N/MCP9600)            , I2C3 is project convention for CM1107N + MCP9600                                                                                    , stm32_spaceballoon.ioc; Core/Src/stm32g4xx_hal_msp.c
PA9    , GPIO_Output        , GPIO output                                                 ,                                        , GPS reset control (GPS_nRST)                , GPIO label GPS_nRST in .ioc; driven HIGH at boot (deassert reset; polarity assumed) by firmware                                     , stm32_spaceballoon.ioc; Core/Src/main.c; Core/Inc/app/board_pins.h
